ano,mes,atendimento,transferido,id_atendimento,sigla_orgao_entrada,sigla_orgao_saida,sigla_orgao_primeiro_encaminhamento,sigla_orgao_segundo_encaminhamento,sigla_orgao_terceiro_encaminhamento,municipio,uf,municipio_ocorrido,uf_municipio_fato_ocorrido,area,assunto,natureza,tipo_identificacao,forma_atendimento,programa,priorizacao,status,sexo,data_atendimento,data_prazo,data_carta,tipo_pessoa
2021.0,6.0,2021011605,Normal,420325,OGE,IMA,IMA,,,TUBARAO,SC,TUBARAO,SC,FATMA,Licença Ambiental,Solicitação,Identificado,Internet (portal),Ouvidoria ambiental,Normal,Encaminhado,Não informado,2021-06-08,2021-06-28,,Jurídica
2021.0,6.0,2021011603,Normal,420323,OGE,Sem Tramit.,Sem Tramit.,,,PALHOCA,SC,SANTO AMARO DA IMPERATRIZ,SC,Saúde,Falta de dados,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Concluido,Feminino,2021-06-08,2021-06-28,2021-06-08,Física
2021.0,6.0,2021011600,Normal,420320,OGE,PM,SSP,CGPM Fpolis,,CANELINHA,SC,CANELINHA,SC,Segurança Pública,Covid-19,Solicitação,Sigiloso,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Masculino,2021-06-08,2021-06-28,,Não informado
2021.0,6.0,2021011593,Normal,420313,OGE,PM,SSP,CGPM Fpolis,1RPM Fpolis,FLORIANOPOLIS,SC,FLORIANOPOLIS,SC,Segurança Pública,Falta de Equipamentos Proteção Individual - EPIS,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Masculino,2021-06-08,2021-06-28,,Física
2021.0,6.0,2021011588,Normal,420308,OGE,DETRAN,DETRAN,,,BLUMENAU,SC,BLUMENAU,SC,DETRAN,Não Atendimento Telefônico,Reclamação,Anônimo,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Não informado,2021-06-08,2021-06-28,,Não informado
2021.0,6.0,2021011587,Normal,420307,OGE,IGP,SSP,IGP,,SAO JOSE,SC,SAO JOSE,SC,Segurança Pública,Agendamento de Atendimento,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Feminino,2021-06-08,2021-06-28,,Física
2021.0,6.0,2021011546,Normal,420266,OGE,SED,SED,,,TUBARAO,SC,TUBARAO,SC,Educação,Estágio curricular,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Feminino,2021-06-07,2021-06-27,,Física
2021.0,6.0,2021011541,Normal,420261,OGE,SED,SED,,,TUBARAO,SC,TUBARAO,SC,Educação,Estágio curricular,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Feminino,2021-06-07,2021-06-27,,Física
2021.0,6.0,2021011539,Normal,420259,OGE,SED,SED,,,TUBARAO,SC,TUBARAO,SC,Educação,Estágio curricular,Solicitação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Feminino,2021-06-07,2021-06-27,,Física
2021.0,6.0,2021011373,Normal,420251,OGE,SDS,SDS,,,FLORIANOPOLIS,SC,FLORIANOPOLIS,SC,"Assistência Social, Trabalho e Habitação",Falta de profissional para atendimento,Reclamação,Identificado,Internet (portal),Ouvidoria externa,Normal,Encaminhado,Masculino,2021-06-04,2021-06-24,,Física
